媒体名称,收录类型,地区,门户类型,收录效果,频道类型,成本价,案例,入口,备注
黔西南在线,百度新闻源收录,贵州,地方重点门户,不包百度新闻源收录,新闻资讯,40,http://www.zgjzx.com.cn/guonei/20180702/133052.html,,
中国商业网.,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,35,http://www.ccwin.cn/article-62201-1.html,,医疗，加盟，金融不包收录
凤凰生活,网页收录,全国,中国五大门户,不包网页收录,生活消费,90,http://www.ifenglife.com/essay_show-13603-lh-4.html,,本网站是《凤凰周刊·生活》杂志的官方网络平台，不是凤凰网旗下 下单请注意！
广东经济网,网页收录,广东,地方重点门户,不包网页收录,企业,35,http://www.gdeconomy.com/qiye/2018-04-09/14895.html,,金融可发
龙讯财经网,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,45,https://www.longau.com/article/2018-7-6/1530855729905.html,,金融可发
消费日报（首发）,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,30,http://www.xfrb.com.cn/html/zixun/haixiashichuang/xingyexiehui/342064.html,,首发需备注
200家B2B,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,18,http://news.hongtongad.com/201806/01/38078663335323903483745135462680.html,,标题不带符号
深圳之窗网-城市频道,百度新闻源收录,全国,地方重点门户,不包百度新闻源收录,新闻资讯,50,http://city.shenchuang.com/city/20180503/1022919.shtml,http://city.shenchuang.com/city/20180503/1022919.shtml,"金融稿子不包收录，发新闻源收录频道；护肤、美妆、集成墙纸，婚纱、甲醛、硅藻泥不包收录（以下稿件不发：涉政，医疗整形，负面，博彩，减肥精油，解码器，佛教，微商,原油投资，套现广告，加盟，微信刷票，花呗套现，淘宝兼职)； 加盟、医疗可发网页频道"
商业评论网,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,70,http://www.ebusinessreview.cn/articledetail-291921.html,1,
莞讯网,网页收录,广东,地方重点门户,包网页收录,新闻资讯,35,http://www.guannews.com/xinwen/107264.html,,不带联系方式，网址，二维码，微信
中国商网,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,35,http://www.zgswcn.com/2018/0328/824060.shtml,,有口
中国贸易经济网,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,50,http://www.cnfl.com.cn/shen/2018/0112/0105334718.html,,赌博医疗整形不发，周末可发  股票 医疗 负面的  金融  等不包时效  股票配资删稿稿费照付；带联系方式的 只发网页 不包收录
南方财富网,网页收录,广东,地方重点门户,不包网页收录,财经金融,70,http://www.southmoney.com/caijing/gongsixinwen/201803/2095784.html,,"""有口，大方向、医疗、保健品类基本不发，微商的审核比较严格。南方系的稿件不发，风景图要去除发

不带联系方式，符合法律法规。"""
太原晚报网,百度新闻源收录,山西,地方重点门户,不包百度新闻源收录,新闻资讯,30,http://www.tywbw.com/finance/c/2017-02/27/content_90205.htm,,要网站链接，不要系统链接   可发微商
汉网-财经,网页收录,湖北,地方重点门户,不包网页收录,财经金融,25,http://www.cnhan.com/html/biz/20180314/747387.htm,,非编辑原因不改稿，系统设置抓的原链接，不能保证格式，上稿请悉知
青岛财经网,网页收录,山东,地方商业门户,不包网页收录,财经金融,38,http://qiye.qdcaijing.com/2018/0510/257198.shtml,,不发负面违法，周末可发
中国商业网商业中国,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,30,http://www.chinacpmc.cn/a/zixun/2018/0319/12240.html,,频道根据稿件内容安排，上稿请注意！
中国攀枝花网,网页收录,四川,地方重点门户,不包网页收录,新闻资讯,32,http://www.pzh.gov.cn/html/2018/0312/666480.html,,负面违反，不发，周末可发
云掌财经-理财,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,28,http://money.123.com.cn/show/2525-164615.html,http://money.123.com.cn/,标题不能超过30字，稿件图片不能带水印，标题30个字符以内 长了编辑会自行修改不通知
加油中国,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,28,http://www.gogochina.cn/edu/20180117/1390.html,http://www.gogochina.cn/qiye/,原瓷库中国网，标题不适合的编辑会根据内容修改标题   不另行通知，婚纱 类   健康类的  金融类  负面等都不包收录
VR日报.,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,IT科技数码,30,http://www.vrrb.cn/kuaixun/59460.html,http://www.vrrb.cn/tougao/,"金融稿子不包收录，发新闻源收录频道；护肤、美妆、集成墙纸，婚纱、甲醛、硅藻泥不包收录（以下稿件不发：涉政，医疗整形，负面，博彩，减肥精油，解码器，佛教，微商,原油投资，套现广告，加盟，微信刷票，花呗套现，淘宝兼职) "
九游经济网.,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,30,http://www.9winetour.com/ptjzx/20170912/1221.html,http://www.9winetour.com/ptjzx/,"金融稿子不包收录，发新闻源收录频道；护肤、美妆、集成墙纸，婚纱、甲醛、硅藻泥不包收录（以下稿件不发：涉政，医疗整形，负面，博彩，减肥精油，解码器，佛教，微商,原油投资，套现广告，加盟，微信刷票，花呗套现，淘宝兼职) "
凤凰号（教育）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,留学教育,12,http://wemedia.ifeng.com/56415690/wemedia.shtml,,发布到教育账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
凤凰号（娱乐）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,娱乐,12,http://wemedia.ifeng.com/56415690/wemedia.shtml,,发布到娱乐账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
凤凰号（科技）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,IT科技数码,12,http://wemedia.ifeng.com/56415690/wemedia.shtml,,发布到科技账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
网易号（全站）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,12,http://dy.163.com/v2/article/detail/DEVBPFCP0514C2CV.html,,根据稿件类型选择账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
小红书-首页（65万）,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,600,https://www.xiaohongshu.com/discovery/item/5bfeaed107ef1c54ba5f4729?xhsshare=CopyLink&appuid=5b42c4234eacab36ab93ec26&apptime=1543480544&_at=54bb6f36e6078469ab6ebb30cab9c66e479a1,,后台不支持数据提供，发布后只能提供首页截图，下单请注意
小红书-首页（30万）,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,500,https://www.xiaohongshu.com/discovery/item/5bfeaed107ef1c54ba5f4729?xhsshare=CopyLink&appuid=5b42c4234eacab36ab93ec26&apptime=1543480544&_at=54bb6f36e6078469ab6ebb30cab9c66e479a1,,后台不支持数据提供，发布后只能提供首页截图，下单请注意
小红书-首页（10万）,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,350,https://www.xiaohongshu.com/discovery/item/5bfeaed107ef1c54ba5f4729?xhsshare=CopyLink&appuid=5b42c4234eacab36ab93ec26&apptime=1543480544&_at=54bb6f36e6078469ab6ebb30cab9c66e479a1,,后台不支持数据提供，发布后只能提供首页截图，下单请注意
小红书-首页（3.8万）,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,270,https://www.xiaohongshu.com/discovery/item/5bfeaed107ef1c54ba5f4729?xhsshare=CopyLink&appuid=5b42c4234eacab36ab93ec26&apptime=1543480544,,后台不支持数据提供，发布后只能提供首页截图，下单请注意
小红书-首页（1.2万）,网页收录,全国,其它,不包网页收录,新闻资讯,150,https://www.xiaohongshu.com/discovery/item/5bfeaed107ef1c54ba5f4729?xhsshare=CopyLink&appuid=5b42c4234eacab36ab93ec26&apptime=1543480544,,后台不支持数据提供，发布后只能提供首页截图，下单请注意
封面新闻（全站）,网页收录,全国,其它,不包网页收录,新闻资讯,15,http://www.thecover.cn,,根据稿件类型选择账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
UC（历史）,网页收录,全国,其它,不包网页收录,文化艺术,15,http://a.mp.uc.cn/article.html,,发布到历史账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
腾讯号（财经）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,财经金融,12,https://new.qq.com/,,发布到财经账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
腾讯号（健康）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,健康医疗,12,https://new.qq.com/,,发布到健康账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
腾讯号（家居）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,家装家居,12,https://new.qq.com/,,发布到家居账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
腾讯号（汽车）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,汽车,12,https://new.qq.com/,,发布到汽车账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
腾讯号（教育）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,留学教育,12,https://new.qq.com/,,发布到教育账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
腾讯号（时尚）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,女性时尚,12,https://new.qq.com/,,发布到时尚账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
腾讯号（娱乐）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,娱乐,12,https://new.qq.com/,,发布到娱乐账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
腾讯号（科技）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,IT科技数码,12,https://new.qq.com/,,发布到科技账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
新浪看点（娱乐）,网页收录,全国,中国五大门户,不包网页收录,娱乐,15,http://k.sina.com.cn/index.html,,发布到娱乐账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
新浪财经头条（娱乐）,网页收录,全国,中国五大门户,不包网页收录,娱乐,15,https://cj.sina.com.cn/,,发布到娱乐账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
搜狐号（家居）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,家装家居,15,https://www.sohu.com/,,发布到家居账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
搜狐号（汽车）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,汽车,15,https://www.sohu.com/,,发布到汽车账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
搜狐号（教育）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,留学教育,15,https://www.sohu.com/,,发布到教育账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
搜狐号（娱乐）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,娱乐,15,https://www.sohu.com/a/207563018_724965,,发布到娱乐账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
搜狐号（时尚）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,女性时尚,15,https://www.sohu.com/a/207563018_724965,,发布到时尚账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
搜狐号（健康）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,健康医疗,15,https://www.sohu.com,,发布到健康账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
搜狐号（科技）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,IT科技数码,15,https://www.sohu.com,,发布到科技账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
今日头条（科技）,网页收录,全国,其它,不包网页收录,IT科技数码,15,https://www.toutiao.com,,发布到科技账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
新浪看点（科技）,网页收录,全国,中国五大门户,不包网页收录,IT科技数码,15,http://k.sina.com.cn/index.html,,发布到科技账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
一点资讯（财经）,网页收录,全国,其它,不包网页收录,财经金融,15,http://www.yidianzixun.com,,发布到财经账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
一点资讯（健康）,网页收录,全国,其它,不包网页收录,健康医疗,15,http://www.yidianzixun.com,,发布到健康账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
一点资讯（科技）,网页收录,全国,其它,不包网页收录,IT科技数码,15,http://www.yidianzixun.com,,发布到科技账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
一点资讯（娱乐）,网页收录,全国,其它,不包网页收录,娱乐,15,http://www.yidianzixun.com,,发布到娱乐账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
一点资讯（时尚）,网页收录,全国,其它,不包网页收录,女性时尚,15,http://www.yidianzixun.com,,发布到时尚账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
一点资讯（教育）,网页收录,全国,其它,不包网页收录,留学教育,15,http://www.yidianzixun.com,,发布到教育账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
一点资讯（汽车）,网页收录,全国,其它,不包网页收录,汽车,15,http://www.yidianzixun.com,,发布到汽车账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
一点资讯（家居）,网页收录,全国,其它,不包网页收录,家装家居,15,http://www.yidianzixun.com,,发布到家居账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
百家号-百度,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,15,https://baijiahao.baidu.com/s?id=1613920738775731138,,限量发布，审核严
凤凰网-汽车吉安,百度新闻源收录,江西,地方商业门户,不包百度新闻源收录,汽车,35,http://auto.ifeng.com/jian/xinwen/2018/0322/869.shtml,,周末可发 只发汽车相关
易车号（车汇资讯）,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,8,http://news.bitauto.com/hao/wenzhang/912912,,上相关
小红书大号kol,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,140,https://www.xiaohongshu.com/discovery/item/5b536182910cf65387ceda66,,只收旅游，美妆，亲子，
重庆商报网-,网页收录,重庆,地方商业门户,不包网页收录,财经金融,35,http://news.chinacqsb.com.cn/caijing/2018/0124/3158.html,,不包 除赌博负面不发 周末可发
秒拍视频,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,10,https://www.miaopai.com/show/tel234a~zfG-xSyfmdM8I2yg~nRPOpM5kiNSTA__.htm,,
B站（bilibili）,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,25,https://www.bilibili.com/read/cv863764,,
汽车之家,网页收录,全国,全国商业门户,不包网页收录,汽车,40,https://chejiahao.autohome.com.cn/info/2651300,,
豆包酷讯,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,15,http://dbapi.myhaowai.com/article/8f19d762-c686-558a-ea6a-335a1f1a86ee.html,,
网易时尚（客户端）,网页收录,全国,中国五大门户,不包网页收录,女性时尚,10,https://3g.163.com/lady/article/DU7VSUOV0517KQRH.html,,账号随机 最近系统审核慢，下单请知悉
网易新闻（客户端）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,10,https://c.m.163.com/news/a/DUD29LHR0517KQSD.html,,账号随机 最近系统审核慢，下单请知悉
网易旅游（客户端）,网页收录,全国,中国五大门户,不包网页收录,酒店旅游,10,https://3g.163.com/travel/article/DUB1QP4J05340IAO.html,,账号随机 最近系统审核慢，下单请知悉
网易数码（客户端）,网页收录,全国,中国五大门户,不包网页收录,IT科技数码,10,https://3g.163.com/digi/article/DU13IRNR0517KQSD.html,,账号随机 最近系统审核慢，下单请知悉
网易手机（客户端）,网页收录,全国,中国五大门户,不包网页收录,IT科技数码,10,https://3g.163.com/mobile/article/DU3FFIKB0517KQSD.html,,账号随机 最近系统审核慢，下单请知悉
网易游戏（客户端）,网页收录,全国,中国五大门户,不包网页收录,游戏,10,https://3g.163.com/game/article/DOPJPRTK0517V8M4.html,,账号随机 最近系统审核慢，下单请知悉
网易教育（客户端）,网页收录,全国,中国五大门户,不包网页收录,留学教育,10,https://3g.163.com/edu/article/DUAMEGON0517KQSD.html,,账号随机 最近系统审核慢，下单请知悉
网易亲子（客户端）,网页收录,全国,中国五大门户,不包网页收录,亲子母婴,10,https://3g.163.com/baby/article/DU8KBNI705340SDS.html,,账号随机 最近系统审核慢，下单请知悉
网易汽车（客户端）,网页收录,全国,中国五大门户,不包网页收录,汽车,10,https://3g.163.com/auto/article/DUD2DBSE0517KQSD.html,,账号随机 最近系统审核慢，下单请知悉
网易艺术（客户端）,网页收录,全国,中国五大门户,不包网页收录,文化艺术,10,https://3g.163.com/art/article/DU8KCGPN05340SDS.html,,账号随机 最近系统审核慢，下单请知悉
网易双创（客户端）,网页收录,全国,中国五大门户,不包网页收录,财经金融,10,https://3g.163.com/shuangchuang/article/DUB0MRC905340IAO.html,,账号随机 最近系统审核慢，下单请知悉
网易体育（客户端）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,10,https://3g.163.com/sports/article/DU82SKOS05340IAO.html,,账号随机 最近系统审核慢，下单请知悉
网易娱乐（客户端）,网页收录,全国,中国五大门户,不包网页收录,娱乐,10,https://3g.163.com/ent/article/DUB6TS2D05340DFD.html,,账号随机 最近系统审核慢，下单请知悉
网易政务（客户端）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,10,http://3g.163.com/gov/article/DTJQ5NSE0517KQRH.html,,账号随机 最近系统审核慢，下单请知悉
网易财经（客户端）,网页收录,全国,中国五大门户,不包网页收录,财经金融,10,https://3g.163.com/money/article/DUD7CV0G0517KQRH.html,,账号随机 最近系统审核慢，下单请知悉
网易健康（客户端）,网页收录,全国,中国五大门户,不包网页收录,健康医疗,10,http://3g.163.com/jiankang/article/DUD2BAG905340EJZ.html,,账号随机 最近系统审核慢，下单请知悉
网易军事（客户端）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,10,http://3g.163.com/war/article/DU3F8S5Q0517KQSD.html,,账号随机   最近系统审核慢，下单请知悉
网易科技（客户端）,网页收录,全国,中国五大门户,不包网页收录,IT科技数码,10,https://3g.163.com/tech/article/DUAN28280517KQSD.html,,账号随机  最近系统审核慢，下单请知悉
网易彩票（客户端）,网页收录,全国,中国五大门户,不包网页收录,财经金融,10,https://3g.163.com/caipiao/article/DORTQNL70517V8M4.html,,账号随机 最近系统审核慢，下单请知悉
美柚,网页收录,全国,全国商业门户,不包网页收录,女性时尚,20,https://news.meiyou.com/news_detail?news_id=24811205&category_id=1&detail_id=1&sub=0,,
中金在线-财经号,网页收录,全国,全国商业门户,不包网页收录,财经金融,15,http://mp.cnfol.com/article/1671394,,
搜狐网-财经客户端,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,财经金融,45,http://m.sohu.com/a/239061554_100194180,,
重庆-百度,网页收录,四川,地方商业门户,不包网页收录,新闻资讯,35,http://news.icq100.com.cn/caijing/2018/0124/1822.html,,不发违法，负面
小红书,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,25,https://www.xiaohongshu.com/discovery/item/5b42db6c07ef1c7c8edc0fb2,,账户随机
百度百家-视频,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,120,https://sv.baidu.com/v?pd=share&context=%7B%22nid%22%3A%22sv_6019869614429955654%22%2C%22sourceFrom%22%3A%22bjh%22%7D&isBdboxShare=1,,
北京时间-视频,百度新闻源收录,北京,地方重点门户,不包百度新闻源收录,新闻资讯,120,https://item.btime.com/k_aB7mWke14ar7,,
一点资讯-视频（30万+播放量）,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,1050,https://www.yidianzixun.com/article/V_01hwku7S?title_sn=0&yidian_dtype=21&utk=bknn7qp4&appid=pro&ver=4.7.2.9&f=ios&s=3&impid=699823430_1531126489369_4658,,
一点资讯-视频（15万+播放量）,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,600,https://www.yidianzixun.com/article/V_01hwku7S?title_sn=0&yidian_dtype=21&utk=bknn7qp4&appid=pro&ver=4.7.2.9&f=ios&s=3&impid=699823430_1531126489369_4658,,
一点资讯-视频（5万+播放量）,百度新闻源收录,全国,全国商业门户,不包网页收录,新闻资讯,300,https://www.yidianzixun.com/article/V_01hwku7S?title_sn=0&yidian_dtype=21&utk=bknn7qp4&appid=pro&ver=4.7.2.9&f=ios&s=3&impid=699823430_1531126489369_4658,,
一点资讯-视频,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,120,https://www.yidianzixun.com/article/V_01hwku7S?title_sn=0&yidian_dtype=21&utk=bknn7qp4&appid=pro&ver=4.7.2.9&f=ios&s=3&impid=699823430_1531126489369_4658,,
凤凰新闻-视频（30万+播放量）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,1050,https://m.ifeng.com/news/RVUziERC/shareNews?ch=qd_sdk_dl1&guid=b9e73ebd-0459-4103-a446-f034f05af75b&aman=d9ndc0e3bdacffq8cb1880Ta745f8dcdcfpcdaw1c8,,上稿需要封面，没有封面编辑会自行添加。
凤凰新闻-视频（15万+播放量）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,600,https://m.ifeng.com/news/RVUziERC/shareNews?ch=qd_sdk_dl1&guid=b9e73ebd-0459-4103-a446-f034f05af75b&aman=d9ndc0e3bdacffq8cb1880Ta745f8dcdcfpcdaw1c8,,上稿需要封面，没有封面编辑会自行添加。
凤凰新闻-视频（5万+播放量）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,300,https://m.ifeng.com/news/RVUziERC/shareNews?ch=qd_sdk_dl1&guid=b9e73ebd-0459-4103-a446-f034f05af75b&aman=d9ndc0e3bdacffq8cb1880Ta745f8dcdcfpcdaw1c8,,上稿需要封面，没有封面编辑会自行添加。
凤凰新闻-视频,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,120,https://m.ifeng.com/news/RVUziERC/shareNews?ch=qd_sdk_dl1&guid=b9e73ebd-0459-4103-a446-f034f05af75b&aman=d9ndc0e3bdacffq8cb1880Ta745f8dcdcfpcdaw1c8,,上稿需要封面，没有封面编辑会自行添加。
搜狐财经-视频,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,财经金融,350,https://3g.k.sohu.com/t/m279690654?sf_a=weixin,,
搜狐新闻-视频,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,120,https://3g.k.sohu.com/t/m279690654?sf_a=weixin,,
今日头条-视频（30万+播放量）,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,1050,http://www.365yg.com/i6439596528964207106/#mid=53295912497,,手机端显示视频
今日头条-视频（15万+播放量）,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,600,http://www.365yg.com/i6439596528964207106/#mid=53295912497,,手机端显示视频
今日头条-视频（5万+播放量）,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,300,http://www.365yg.com/i6439596528964207106/#mid=53295912497,,手机端显示视频
今日头条-视频,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,120,http://www.365yg.com/i6439596528964207106/#mid=53295912497,,手机端显示视频
新浪看点-视频（30万+播放量）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,1050,https://k.sina.cn/article_6581023989_m1884274f500100ac45.html?cre=tianyi&mod=nvideo&loc=2&r=0&doct=0&rfunc=74&tj=cxLcfproAbtest&tr=183&fromsinago=1&wm=3200_0001&http=fromhttp,,上稿需要封面，没有封面编辑会自行添加。
新浪看点-视频（15万+播放量）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,600,https://k.sina.cn/article_6581023989_m1884274f500100ac45.html?cre=tianyi&mod=nvideo&loc=2&r=0&doct=0&rfunc=74&tj=cxLcfproAbtest&tr=183&fromsinago=1&wm=3200_0001&http=fromhttp,,上稿需要封面，没有封面编辑会自行添加。
新浪看点-视频（5万+播放量）,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,300,https://k.sina.cn/article_6581023989_m1884274f500100ac45.html?cre=tianyi&mod=nvideo&loc=2&r=0&doct=0&rfunc=74&tj=cxLcfproAbtest&tr=183&fromsinago=1&wm=3200_0001&http=fromhttp,,上稿需要封面，没有封面编辑会自行添加。
新浪看点-视频,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,120,https://k.sina.cn/article_6581023989_m1884274f500100ac45.html?cre=tianyi&mod=nvideo&loc=2&r=0,,上稿需要封面，没有封面编辑会自行添加。
腾讯新闻-事实派（媒体号）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,60,http://op.inews.qq.com/o/20180704A0II5P00,,不能带图，只能设置多个封面照
腾讯新闻-事实派（企鹅号）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,15,http://op.inews.qq.com/detail/20180507A0IHBV00,,
腾讯新闻客户端,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,15,https://view.inews.qq.com/a/20180507A0CLRQ00?tbkt=G,,
趣头条,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,15,http://html2.qktoutiao.com/detail/2018/06/12/105446760.html,,
腾讯网-快豹,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,15,http://view.inews.qq.com/s/2017120801918200?refer=,,
网易新闻-视频（30万+播放量）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,1050,https://3g.163.com/v/video/VIR57LR48.html#adaptation=pc,,
网易新闻-视频（15万+播放量）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,600,https://3g.163.com/v/video/VIR57LR48.html#adaptation=pc,,
网易新闻-视频（5万+播放量）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,300,https://3g.163.com/v/video/VIR57LR48.html#adaptation=pc,,
腾讯快报-视频（30万+播放量）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,1050,http://kuaibao.qq.com/s/20180408V1N4Y500?clickfrom=cyshare_video&openid=#/,,
腾讯快报-视频（15万+播放量）,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,600,http://kuaibao.qq.com/s/20180408V1N4Y500?clickfrom=cyshare_video&openid=#/,,
腾讯新闻-视频,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,财经金融,120,http://op.inews.qq.com/detail/20180511A0QVKP00,,发布到腾讯新闻事实派-视频（填上正确的标题，内容随便填入，视频文件发给客服即可）
手机网易网,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,15,http://3g.163.com/dy/article/DGD6B1N00528DDDI.html,,最近系统审核慢，下单请知悉
腾讯新闻-事实派,网页收录,全国,中国五大门户,不包网页收录,新闻资讯,15,https://wxn.qq.com/cmsid/WXN20180806A0IX3R00,,
360doc图书馆,网页收录,全国,全国商业门户,不包网页收录,健康医疗,25,http://www.360doc.com/content/16/1025/15/28349226_601254296.shtml,1,
